Player,Team,POS,xG,xTC,xTP,PPAS,PCRY,PBX,PRCV,PASS,PC%,HDA,TKLA,TKL%,AERA,AER%
Álex Baena,Villarreal,ATT,0.17,0.28,0.16,3.76,1.6,0.44,4.59,40.3,66.6,2.09,1.81,49.1,1.05,45.5
Lamine Yamal,Barcelona,ATT,0.32,0.24,0.18,3.5,3.57,2.33,5.03,44.57,75,2.96,1.81,66.7,0.12,25
Rodrigo De Paul,Atletico,MID,0.06,0.23,0.19,5.27,2.33,0.16,3.86,69.39,81.8,1.61,2.04,63.5,0.43,36.4
Luka Modric,Real Madrid,MID,0.07,0.23,0.21,6.42,2.24,0.45,4.51,88.69,87.4,1.8,2.3,62.8,0.86,31.6
Pedri,Barcelona,MID,0.07,0.23,0.21,5,2.5,0.23,5.93,78.82,87.5,2.21,2.96,54.4,0.34,58.3
Raphinha,Barcelona,ATT,0.44,0.23,0.15,3.03,1.78,1.15,6.12,42.93,71.4,2.15,1.61,66.1,0.4,71.4
Óscar Mingueza,Celta Vigo,DEF,0.06,0.22,0.18,5.62,1.64,0.24,3.28,65.73,76.9,0.75,2.39,50,0.63,52.4
Johan Mojica,Mallorca,DEF,0.02,0.21,0.1,4.1,0.95,0.18,1.77,48.68,74.1,0.39,1.66,64.3,0.83,32.1
Giovani Lo Celso,Real Betis,ATT,0.12,0.2,0.16,4.2,1.12,0.39,4.43,53.68,78.7,2.22,2.34,83.3,0.78,28.6
Arda Güler,Real Madrid,ATT,0.26,0.2,0.16,3.82,1.9,0.52,4.87,57.74,86.2,3,2.61,70,1.18,38.9
Bryan Zaragoza,Osasuna,ATT,0.13,0.19,0.07,1.98,2.81,1.84,2.8,25.71,64.9,1.2,1.24,55.6,0.51,18.2
Álvaro Tejero,Espanyol,DEF,0.05,0.19,0.09,2.86,0.81,0.13,2.5,39.41,72.1,0.64,1.65,46.1,1.33,42.9
Isco,Real Betis,ATT,0.2,0.19,0.14,4.24,1.98,0.26,5.89,61.43,81.6,2.31,1.94,54,1.78,38.2
Miguel Gutiérrez,Girona,DEF,0.05,0.19,0.08,2.9,1.33,0.17,3.47,50.48,82.8,0.97,1.91,68.4,0.64,21.1
Moi Gómez,Osasuna,MID,0.04,0.18,0.09,3.16,0.68,0.1,3,47.2,80.7,0.86,1.63,76.5,1.72,33.3
Daley Blind,Girona,DEF,0.01,0.18,0.16,6.62,2.11,0.06,2.07,76.81,89,0.5,1.91,75.4,1.24,40.5
José Gayà,Valencia,DEF,0.05,0.18,0.07,3.04,0.89,0.18,2.35,45.2,78.1,0.45,3.5,76.6,0.95,42.9
Óscar De Marcos,Athletic Club,DEF,0.05,0.18,0.1,4.13,0.69,0,1.73,52.76,79.4,0.57,2.46,70.2,0.94,44.4
