Player,Team,POS,xG,xTC,xTP,PPAS,PCRY,PBX,PRCV,PASS,PC%,HDA,TKLA,TKL%,AERA,AER%
Trent Alexander-Arnold,Liverpool,DEF,0.08,0.29,0.19,5.95,1.29,0.17,2.52,67.57,73.5,0.94,4.36,57.6,0.56,18.8
Kevin De Bruyne,Man City,ATT,0.23,0.26,0.2,3.97,1.82,0.78,5.14,57.33,76,2.92,1.36,53.6,1.02,23.8
Bruno Fernandes,Man Utd,ATT,0.19,0.23,0.17,4.88,1.51,0.3,3.97,59.64,75.9,2.09,3.49,64.3,1.25,47.8
Pedro Porro,Tottenham,DEF,0.07,0.21,0.09,4.1,1.02,0.06,2.39,57.21,73.7,1.17,3.11,68.3,1.05,35.3
Adama Traoré,Fulham,ATT,0.23,0.21,0.07,2.06,2.32,1.32,4.48,26.6,72.6,1.28,1.28,71.4,2.19,45.8
James Maddison,Tottenham,MID,0.21,0.21,0.16,3.94,1.56,0.82,5.02,56.04,81.2,3.13,2.04,68.9,0.54,41.7
Mathias Jensen,Brentford,MID,0.02,0.2,0.14,3.53,0.66,0,2.75,43.34,75,1.44,1.79,70,1.08,66.7
Savinho,Man City,ATT,0.23,0.2,0.11,2.44,4.11,3.38,4.24,40.15,81,2.2,1.55,69.7,0.14,33.3
Martin Ødegaard,Arsenal,MID,0.19,0.2,0.16,3.95,2.57,0.89,4.42,52.97,82.5,1.78,1.21,47.1,0.46,53.9
Alex Iwobi,Fulham,ATT,0.15,0.2,0.13,3.61,2.27,0.92,4.16,42.56,75.4,1.37,1.6,80.7,1.01,19.4
Kostas Tsimikas,Liverpool,DEF,0.05,0.2,0.13,4.25,0.92,0.09,2.18,61.2,84.1,0.95,3.6,79,1.04,36.4
Mohamed Salah,Liverpool,ATT,0.44,0.19,0.15,2.54,2.51,3.13,6.2,30.44,70.5,1.6,0.8,69.7,0.56,39.1
