Team,xG,xGA,xGDiff,POS,FTILT,xT,xTA,xTDiff,DLINE,ODLINE,BUILD,OBUILD,LOS,OLOS
Barcelona,2.32,1.14,1.18,68.3,72.29,1.91,0.85,1.07,51.91,40.41,90.1,73.7,18.9,27.3
Real,2.1,1.17,0.93,60.4,63.18,1.61,1.08,0.54,45.89,40.67,90.9,83,17.6,20.6
Atletico,1.77,0.88,0.89,52.6,54.43,1.45,1.27,0.18,44.18,46.77,86.3,85,24.8,19.7
Villarreal,1.74,1.24,0.5,47.6,45.67,1.56,1.35,0.21,44.03,46.31,84.6,85.7,23.6,18.8
Athletic,1.36,1.09,0.27,48.4,55.02,1.32,1.07,0.25,48.28,42.09,81.5,80.4,21.8,26.6
Celta,1.45,1.2,0.25,53.6,53.87,1.35,1.3,0.06,47.24,44.41,85.7,82.6,23.6,20.7
Sociedad,1.26,1.07,0.19,53.8,53.6,1.2,1.19,0.01,46.93,44.72,81.6,77,23.3,26
Betis,1.41,1.34,0.08,52.4,55.04,1.32,1.28,0.03,46.37,44.49,83.6,81.2,23.4,23.3
Sevilla,1.13,1.2,-0.07,50.4,48.42,1.1,1.21,-0.11,44.19,45.56,81.9,81.1,24,21.3
Alaves,1.14,1.26,-0.12,45.4,50.61,1.27,1.34,-0.07,44.88,46.1,74.1,79.5,20.1,24.3
Rayo,1.2,1.42,-0.21,51.6,52.95,1.33,1.37,-0.04,46.19,46.28,79.8,77.6,22.9,25.8
Mallorca,1.14,1.36,-0.22,46.9,42.53,1.33,1.4,-0.06,42.9,47.81,80.2,82.5,22.6,18.9
Valencia,1.17,1.41,-0.24,48.3,48.09,1.32,1.37,-0.05,44.69,46.56,80.8,82.7,24,23.1
Girona,1.15,1.39,-0.24,56.3,53.83,1.41,1.2,0.22,46.81,46,88.5,83.4,21.1,19.2
Getafe,0.99,1.25,-0.27,41.9,50.93,1.2,1.18,0.02,48.22,43.37,67.9,77,18.8,28.2
Osasuna,1.2,1.51,-0.31,46.1,48.14,1.37,1.47,-0.1,45.43,44.07,78.3,82.4,19.8,22.2
Espanyol,0.96,1.45,-0.49,39.9,35.44,1.02,1.62,-0.6,41.48,47.74,77.6,86.2,22.5,17.1
Leganes,1,1.57,-0.57,42.5,36.3,0.96,1.63,-0.67,43.66,47.04,76.5,83.2,21.2,21.2
Las Palmas,1,1.71,-0.71,50.7,45.66,1.16,1.45,-0.29,43.72,47.08,80.5,81,24.5,20.7
Valladolid,0.93,1.77,-0.84,42.8,34,1.02,1.6,-0.59,40.85,50.36,80.5,85.8,23.1,16.7
