Team,xG,xGA,xGDiff,POS,FTILT,xT,xTA,xTDiff,DLINE,ODLINE,BUILD,OBUILD,LOS,OLOS
Wolves,1.16,1.52,-0.35,48.1,43.38,1.15,1.44,-0.29,43.29,48.19,82.4,84.3,25.8,21.3
West Ham,1.3,1.65,-0.35,48.4,40.83,1.34,1.55,-0.21,43.66,47.91,82.5,83.7,25.7,22.2
Spurs,1.57,1.71,-0.14,54.6,52.53,1.43,1.39,0.03,45.89,45.15,85.3,80.6,26.7,23.1
Southampton,0.89,2.23,-1.33,48.6,41.16,1.11,1.69,-0.57,42.92,48.91,85.4,86.2,24.5,18.1
Nottm Forest,1.22,1.4,-0.19,41.3,42.06,1.21,1.58,-0.37,40.8,46.76,75.6,85.3,21.5,20.8
Newcastle,1.67,1.36,0.31,51.2,53.54,1.5,1.32,0.19,47.45,45,83.3,80.4,22.5,22.7
Man Utd,1.41,1.5,-0.09,53.4,52.05,1.31,1.25,0.06,44.09,45.86,83.9,81.9,27.4,23.6
Man City,1.79,1.35,0.44,61.4,71.55,1.7,1.08,0.62,51.24,39.17,90.5,82.6,16.2,25.1
Liverpool,2.22,1.02,1.19,57.8,61.34,1.79,1,0.79,48.35,41.14,86.7,81,20.2,24.7
Leicester,0.88,2.01,-1.13,45.3,36.94,1.08,1.75,-0.67,42.88,49.57,81.5,85.6,27.1,21.5
Ipswich,1.08,1.84,-0.76,40.5,36.69,1.02,1.62,-0.61,43.87,48.6,79.2,85.8,25.9,20.1
Fulham,1.42,1.21,0.21,52.3,55.31,1.48,1.31,0.17,44.84,46.24,84.4,83.7,24.5,19.7
Everton,1.14,1.36,-0.22,41,42.6,1.28,1.46,-0.18,44.09,46.44,78,84.9,19.3,25.1
Chelsea,1.71,1.36,0.35,57,60.75,1.51,1.14,0.37,47.58,44.52,86.6,81.8,22,23.2
C. Palace,1.71,1.46,0.25,42.6,41.29,1.33,1.47,-0.14,43.7,49.39,76.8,83.7,27.8,24.7
Brighton,1.64,1.45,0.19,52.4,58.61,1.43,1.25,0.18,47.69,42.71,85.3,82,20,26.7
Brentford,1.66,1.51,0.14,47.8,42.97,1.48,1.52,-0.05,45.34,46.33,81.2,81.5,23.6,24.8
Bournemouth,1.77,1.34,0.43,48.5,52.13,1.47,1.45,0.02,47.64,43.54,78.2,78.5,22.2,29.3
Aston Villa,1.51,1.28,0.23,50.7,49.2,1.37,1.34,0.03,45.23,46.51,85.3,85.5,24.1,19
Arsenal,1.81,0.91,0.89,57,65.07,1.65,1.03,0.62,51.34,39.96,87,80.1,15.1,26.3
